tag;subject;activity;calPosX;calPosY;calPosZ;calRotX;calRotY;calRotZ;calRotW;angVelX;angVelY;angVelZ;linVelX;linVelY;linVelZ;scale;time
head;TestUser_02;Kiks;0.0452495;-0.0734714;1.56881;0.693839;0.0222772;0.0299465;0.719163;1;2;3;7;8;9;0.985657;76.071
hip;TestUser_02;Kiks;-0.00915093;0.112779;0.937106;0.647794;0.0878806;0.0735726;0.753145;1;2;3;7;8;9;0.985657;76.071
lHand;TestUser_02;Kiks;0.274036;-0.147727;0.885069;0.111642;0.162952;-0.976974;0.0806452;1;2;3;7;8;9;0.985657;76.071
rHand;TestUser_02;Kiks;-0.221455;-0.193017;0.867818;0.304929;-0.165006;0.894988;-0.280694;1;2;3;7;8;9;0.985657;76.071
lFoot;TestUser_02;Kiks;0.0996839;0.0529925;0.074131;-0.966913;-0.149895;-0.0226819;0.205172;1;2;3;7;8;9;0.985657;76.071
rFoot;TestUser_02;Kiks;-0.1367;0.0519633;0.0726999;-0.975206;0.0384917;0.0877219;0.199491;1;2;3;7;8;9;0.985657;76.071
head;TestUser_02;Kiks;0.0484498;-0.0758109;1.56611;0.693393;0.0224651;0.0305555;0.719561;1;2;3;7;8;9;0.985657;76.0866
hip;TestUser_02;Kiks;-0.00722921;0.113938;0.935834;0.646072;0.0857028;0.0711922;0.755101;1;2;3;7;8;9;0.985657;76.0866
lHand;TestUser_02;Kiks;0.274701;-0.149204;0.88956;0.1059;0.145534;-0.979944;0.0855241;1;2;3;7;8;9;0.985657;76.0866
rHand;TestUser_02;Kiks;-0.216253;-0.197493;0.871286;0.304162;-0.146611;0.898222;-0.281404;1;2;3;7;8;9;0.985657;76.0866
lFoot;TestUser_02;Kiks;0.101634;0.053422;0.0731028;-0.967691;-0.146131;-0.0232219;0.20416;1;2;3;7;8;9;0.985657;76.0866
rFoot;TestUser_02;Kiks;-0.136376;0.051904;0.0731893;-0.97378;0.0391691;0.0902745;0.205108;1;2;3;7;8;9;0.985657;76.0866
head;TestUser_02;Kiks;0.0519771;-0.0781206;1.56282;0.692933;0.0224465;0.0310188;0.719984;1;2;3;7;8;9;0.985657;76.1021
hip;TestUser_02;Kiks;-0.00551834;0.115445;0.934743;0.644598;0.0839424;0.0697192;0.756695;1;2;3;7;8;9;0.985657;76.1021
lHand;TestUser_02;Kiks;0.275414;-0.150836;0.894025;0.0996533;0.127716;-0.982651;0.090302;1;2;3;7;8;9;0.985657;76.1021
rHand;TestUser_02;Kiks;-0.210759;-0.201968;0.874961;0.302464;-0.127498;0.901895;-0.280793;1;2;3;7;8;9;0.985657;76.1021
lFoot;TestUser_02;Kiks;0.105901;0.054285;0.0722727;-0.969839;-0.13277;-0.0271505;0.202603;1;2;3;7;8;9;0.985657;76.1021
rFoot;TestUser_02;Kiks;-0.135837;0.0519864;0.0738305;-0.972303;0.0394358;0.0932711;0.210647;1;2;3;7;8;9;0.985657;76.1021
head;TestUser_02;Kiks;0.0555228;-0.0803486;1.55973;0.693081;0.0222501;0.0315386;0.719826;1;2;3;7;8;9;0.985657;76.119
hip;TestUser_02;Kiks;-0.00395114;0.116852;0.933335;0.642937;0.0821565;0.0687738;0.758388;1;2;3;7;8;9;0.985657;76.119
lHand;TestUser_02;Kiks;0.276161;-0.152406;0.898501;0.093803;0.110796;-0.984829;0.0950617;1;2;3;7;8;9;0.985657;76.119
rHand;TestUser_02;Kiks;-0.205409;-0.205975;0.879005;0.300753;-0.109063;0.905199;-0.279765;1;2;3;7;8;9;0.985657;76.119
lFoot;TestUser_02;Kiks;0.108624;0.0549655;0.0709286;-0.971594;-0.123943;-0.0269993;0.199787;1;2;3;7;8;9;0.985657;76.119
rFoot;TestUser_02;Kiks;-0.134888;0.0513805;0.0746738;-0.970453;0.0428623;0.0964049;0.217003;1;2;3;7;8;9;0.985657;76.119
head;TestUser_02;Kiks;0.0591073;-0.0823705;1.5567;0.694443;0.0219217;0.0318595;0.718507;1;2;3;7;8;9;0.985657;76.1354
hip;TestUser_02;Kiks;-0.0029495;0.119112;0.932056;0.642989;0.0821928;0.0701346;0.758215;1;2;3;7;8;9;0.985657;76.1354
lHand;TestUser_02;Kiks;0.27696;-0.154173;0.902738;0.0873663;0.0935776;-0.986808;0.0991014;1;2;3;7;8;9;0.985657;76.1354
rHand;TestUser_02;Kiks;-0.199434;-0.210339;0.88321;0.298248;-0.0913898;0.908308;-0.278697;1;2;3;7;8;9;0.985657;76.1354
lFoot;TestUser_02;Kiks;0.109023;0.0554273;0.0703263;-0.972288;-0.119315;-0.0185626;0.200186;1;2;3;7;8;9;0.985657;76.1354
rFoot;TestUser_02;Kiks;-0.134152;0.0509037;0.0759244;-0.96818;0.0443366;0.100883;0.224687;1;2;3;7;8;9;0.985657;76.1354
head;TestUser_02;Kiks;0.0628302;-0.0842239;1.55376;0.696385;0.0218904;0.0317896;0.71663;1;2;3;7;8;9;0.985657;76.1518
