tag;subject;activity;calPosX;calPosY;calPosZ;calRotX;calRotY;calRotZ;calRotW;angVelX;angVelY;angVelZ;linVelX;linVelY;linVelZ;scale;time
head;TestUser_02;Squat;0.00446036;-0.124609;1.47075;0.719627;-0.000800557;0.0169989;0.694153;1;2;3;7;8;9;0.992573;18.7908
hip;TestUser_02;Squat;0.0176983;0.19741;0.908461;0.740968;0.0132885;0.0207494;0.671089;1;2;3;7;8;9;0.992573;18.7908
lHand;TestUser_02;Squat;0.144922;-0.323707;0.885593;0.0449109;-0.0388057;-0.997948;-0.0240383;1;2;3;7;8;9;0.992573;18.7908
rHand;TestUser_02;Squat;-0.225736;-0.258484;0.861496;0.151864;0.0397878;0.987239;-0.0267197;1;2;3;7;8;9;0.992573;18.7908
lFoot;TestUser_02;Squat;0.137473;0.0496084;0.0737006;-0.969793;-0.0101104;-0.0540382;0.237652;1;2;3;7;8;9;0.992573;18.7908
rFoot;TestUser_02;Squat;-0.187182;0.0499665;0.0816943;-0.966419;0.0801207;0.101051;0.222268;1;2;3;7;8;9;0.992573;18.7908
head;TestUser_02;Squat;0.00260682;-0.127352;1.46407;0.718778;-0.000136908;0.0171115;0.695029;1;2;3;7;8;9;0.992573;18.8075
hip;TestUser_02;Squat;0.0160935;0.200115;0.906118;0.74447;0.0123696;0.0192178;0.667265;1;2;3;7;8;9;0.992573;18.8075
lHand;TestUser_02;Squat;0.141348;-0.328511;0.888208;0.0496232;-0.055709;-0.996751;-0.0303488;1;2;3;7;8;9;0.992573;18.8075
rHand;TestUser_02;Squat;-0.223571;-0.265488;0.862851;0.148684;0.0573758;0.986749;-0.0304401;1;2;3;7;8;9;0.992573;18.8075
lFoot;TestUser_02;Squat;0.137103;0.0492593;0.0738343;-0.969333;-0.00931329;-0.0536407;0.239643;1;2;3;7;8;9;0.992573;18.8075
rFoot;TestUser_02;Squat;-0.188967;0.0489158;0.079968;-0.965491;0.0866059;0.101614;0.223609;1;2;3;7;8;9;0.992573;18.8075
head;TestUser_02;Squat;0.000725782;-0.129994;1.45719;0.717901;0.000606488;0.0173668;0.695928;1;2;3;7;8;9;0.992573;18.8227
hip;TestUser_02;Squat;0.0145545;0.203042;0.903579;0.748622;0.0109977;0.0176215;0.662672;1;2;3;7;8;9;0.992573;18.8227
lHand;TestUser_02;Squat;0.138323;-0.334442;0.89115;0.0513102;-0.0699571;-0.995631;-0.0345342;1;2;3;7;8;9;0.992573;18.8227
rHand;TestUser_02;Squat;-0.221346;-0.272072;0.863959;0.143338;0.0766447;0.98618;-0.0320816;1;2;3;7;8;9;0.992573;18.8227
lFoot;TestUser_02;Squat;0.137243;0.049156;0.0740823;-0.968828;-0.00706218;-0.0537026;0.24174;1;2;3;7;8;9;0.992573;18.8227
rFoot;TestUser_02;Squat;-0.19097;0.0485012;0.0780267;-0.964607;0.0893186;0.102651;0.225873;1;2;3;7;8;9;0.992573;18.8227
head;TestUser_02;Squat;-0.00123799;-0.132567;1.44944;0.716506;0.00124248;0.0179464;0.697349;1;2;3;7;8;9;0.992573;18.8397
hip;TestUser_02;Squat;0.0129918;0.205601;0.900605;0.753409;0.00947264;0.0155581;0.657299;1;2;3;7;8;9;0.992573;18.8397
lHand;TestUser_02;Squat;0.13435;-0.338391;0.892985;0.0507516;-0.0839256;-0.994466;-0.0376615;1;2;3;7;8;9;0.992573;18.8397
rHand;TestUser_02;Squat;-0.219111;-0.278099;0.864507;0.135731;0.0980335;0.985363;-0.032034;1;2;3;7;8;9;0.992573;18.8397
lFoot;TestUser_02;Squat;0.136865;0.0490453;0.0742176;-0.968399;-0.008129;-0.0531795;0.243536;1;2;3;7;8;9;0.992573;18.8397
rFoot;TestUser_02;Squat;-0.193106;0.0482737;0.0758635;-0.964018;0.0892475;0.103646;0.227952;1;2;3;7;8;9;0.992573;18.8397
head;TestUser_02;Squat;-0.00324226;-0.135029;1.44127;0.715334;0.00191149;0.0185324;0.698534;1;2;3;7;8;9;0.992573;18.8584
hip;TestUser_02;Squat;0.0112207;0.207583;0.897244;0.758227;0.0088147;0.0128467;0.651805;1;2;3;7;8;9;0.992573;18.8584
lHand;TestUser_02;Squat;0.130837;-0.342992;0.894596;0.0491622;-0.0980979;-0.993151;-0.0401398;1;2;3;7;8;9;0.992573;18.8584
rHand;TestUser_02;Squat;-0.216986;-0.28441;0.865154;0.128945;0.117835;0.984082;-0.0327233;1;2;3;7;8;9;0.992573;18.8584
lFoot;TestUser_02;Squat;0.136919;0.0491231;0.0743651;-0.967953;-0.00682646;-0.0529191;0.245399;1;2;3;7;8;9;0.992573;18.8584
rFoot;TestUser_02;Squat;-0.19495;0.0490288;0.0733766;-0.96471;0.0811524;0.100615;0.229401;1;2;3;7;8;9;0.992573;18.8584
head;TestUser_02;Squat;-0.00519574;-0.137517;1.43311;0.715838;0.00265542;0.0190237;0.698003;1;2;3;7;8;9;0.992573;18.8727
hip;TestUser_02;Squat;0.00857751;0.209108;0.892394;0.763312;0.00937625;0.00921276;0.645897;1;2;3;7;8;9;0.992573;18.8727
lHand;TestUser_02;Squat;0.127739;-0.347629;0.895573;0.0443826;-0.112194;-0.99189;-0.0399708;1;2;3;7;8;9;0.992573;18.8727
rHand;TestUser_02;Squat;-0.215006;-0.290411;0.865285;0.122699;0.136646;0.982408;-0.0338781;1;2;3;7;8;9;0.992573;18.8727
lFoot;TestUser_02;Squat;0.137148;0.0490844;0.0745246;-0.967713;-0.00585051;-0.0522794;0.246506;1;2;3;7;8;9;0.992573;18.8727
rFoot;TestUser_02;Squat;-0.193975;0.0519743;0.0731732;-0.967461;0.0586582;0.0886651;0.2296;1;2;3;7;8;9;0.992573;18.8727
head;TestUser_02;Squat;-0.00727372;-0.13981;1.42504;0.716652;0.00347541;0.0194776;0.69715;1;2;3;7;8;9;0.992573;18.8896
hip;TestUser_02;Squat;0.00513814;0.212512;0.888335;0.769323;0.0126939;0.0123387;0.638614;1;2;3;7;8;9;0.992573;18.8896
lHand;TestUser_02;Squat;0.12349;-0.351087;0.895533;0.0406896;-0.126071;-0.990413;-0.0391394;1;2;3;7;8;9;0.992573;18.8896
rHand;TestUser_02;Squat;-0.213001;-0.296243;0.864795;0.118262;0.153473;0.980357;-0.0368939;1;2;3;7;8;9;0.992573;18.8896
lFoot;TestUser_02;Squat;0.136654;0.0490649;0.0746037;-0.967401;-0.00759563;-0.0506574;0.248015;1;2;3;7;8;9;0.992573;18.8896
rFoot;TestUser_02;Squat;-0.191763;0.055243;0.0753725;-0.968292;0.0426924;0.0730864;0.235045;1;2;3;7;8;9;0.992573;18.8896
head;TestUser_02;Squat;-0.00934629;-0.14202;1.41635;0.716753;0.00442344;0.0196571;0.697036;1;2;3;7;8;9;0.992573;18.9064
hip;TestUser_02;Squat;0.0014704;0.217421;0.885696;0.775358;0.0177159;0.0202927;0.630947;1;2;3;7;8;9;0.992573;18.9064
lHand;TestUser_02;Squat;0.120311;-0.3551;0.895351;0.0358644;-0.137754;-0.989255;-0.0333559;1;2;3;7;8;9;0.992573;18.9064
rHand;TestUser_02;Squat;-0.211134;-0.302546;0.864466;0.11526;0.16839;0.978091;-0.0412209;1;2;3;7;8;9;0.992573;18.9064
lFoot;TestUser_02;Squat;0.13637;0.0490464;0.074652;-0.966924;-0.00826144;-0.0493043;0.250119;1;2;3;7;8;9;0.992573;18.9064
rFoot;TestUser_02;Squat;-0.186964;0.0514037;0.0786273;-0.967057;0.0683794;0.0648674;0.236469;1;2;3;7;8;9;0.992573;18.9064
head;TestUser_02;Squat;-0.0114188;-0.144251;1.40708;0.716155;0.00532355;0.0196388;0.697644;1;2;3;7;8;9;0.992573;18.9231
hip;TestUser_02;Squat;-0.00303348;0.224364;0.88423;0.781757;0.0253149;0.0353931;0.622063;1;2;3;7;8;9;0.992573;18.9231
lHand;TestUser_02;Squat;0.11707;-0.358089;0.89478;0.0323983;-0.150008;-0.987677;-0.030711;1;2;3;7;8;9;0.992573;18.9231
rHand;TestUser_02;Squat;-0.209398;-0.308349;0.863798;0.112191;0.183134;0.975597;-0.0456743;1;2;3;7;8;9;0.992573;18.9231
lFoot;TestUser_02;Squat;0.136307;0.0488856;0.0747064;-0.966605;-0.00498389;-0.0484948;0.25159;1;2;3;7;8;9;0.992573;18.9231
rFoot;TestUser_02;Squat;-0.192401;0.0485349;0.0746081;-0.963746;0.0765986;0.100618;0.23495;1;2;3;7;8;9;0.992573;18.9231
head;TestUser_02;Squat;-0.0134961;-0.146461;1.39762;0.715355;0.00587419;0.0197229;0.698458;1;2;3;7;8;9;0.992573;18.9395
hip;TestUser_02;Squat;-0.00584558;0.229323;0.881701;0.788215;0.0272301;0.0409619;0.613431;1;2;3;7;8;9;0.992573;18.9395
lHand;TestUser_02;Squat;0.114128;-0.361645;0.894038;0.0265768;-0.159945;-0.986433;-0.0257058;1;2;3;7;8;9;0.992573;18.9395
rHand;TestUser_02;Squat;-0.20787;-0.313755;0.862842;0.108234;0.198869;0.972783;-0.0492882;1;2;3;7;8;9;0.992573;18.9395
lFoot;TestUser_02;Squat;0.136093;0.0487607;0.074748;-0.966277;-0.00535001;-0.0482228;0.252892;1;2;3;7;8;9;0.992573;18.9395
rFoot;TestUser_02;Squat;-0.19424;0.0517043;0.07619;-0.96476;0.0512145;0.0923017;0.241029;1;2;3;7;8;9;0.992573;18.9395
head;TestUser_02;Squat;-0.0155349;-0.148803;1.38794;0.714701;0.00623904;0.0195829;0.699128;1;2;3;7;8;9;0.992573;18.9565
hip;TestUser_02;Squat;-0.00627862;0.231016;0.87686;0.794324;0.0217765;0.0327987;0.606218;1;2;3;7;8;9;0.992573;18.9565
lHand;TestUser_02;Squat;0.111191;-0.365176;0.893136;0.0211578;-0.171454;-0.984685;-0.0234774;1;2;3;7;8;9;0.992573;18.9565
rHand;TestUser_02;Squat;-0.206286;-0.319248;0.861966;0.104746;0.213637;0.969822;-0.053215;1;2;3;7;8;9;0.992573;18.9565
lFoot;TestUser_02;Squat;0.136103;0.0491077;0.0749457;-0.965892;-0.00777494;-0.0478025;0.254376;1;2;3;7;8;9;0.992573;18.9565
rFoot;TestUser_02;Squat;-0.192123;0.0519353;0.0774109;-0.964958;0.0525758;0.0740123;0.246199;1;2;3;7;8;9;0.992573;18.9565
head;TestUser_02;Squat;-0.0174459;-0.150983;1.37813;0.714243;0.00669174;0.0192531;0.699601;1;2;3;7;8;9;0.992573;18.9728
hip;TestUser_02;Squat;-0.00678559;0.232216;0.870579;0.798017;0.0160487;0.0217092;0.60203;1;2;3;7;8;9;0.992573;18.9728
lHand;TestUser_02;Squat;0.109239;-0.368806;0.892822;0.0168673;-0.184262;-0.982465;-0.0229385;1;2;3;7;8;9;0.992573;18.9728
rHand;TestUser_02;Squat;-0.204581;-0.324356;0.860786;0.101109;0.228189;0.966678;-0.0569271;1;2;3;7;8;9;0.992573;18.9728
lFoot;TestUser_02;Squat;0.13599;0.0492466;0.0750813;-0.965406;-0.00985666;-0.0476282;0.256175;1;2;3;7;8;9;0.992573;18.9728
rFoot;TestUser_02;Squat;-0.191225;0.0500586;0.0767703;-0.963459;0.0694878;0.0716081;0.248577;1;2;3;7;8;9;0.992573;18.9728
head;TestUser_02;Squat;-0.0193963;-0.152967;1.36822;0.714309;0.00739439;0.0187451;0.69954;1;2;3;7;8;9;0.992573;18.9897
hip;TestUser_02;Squat;-0.00822262;0.233583;0.863531;0.799381;0.0131542;0.0159316;0.600469;1;2;3;7;8;9;0.992573;18.9897
lHand;TestUser_02;Squat;0.106009;-0.371643;0.890273;0.0140526;-0.197899;-0.979841;-0.0234512;1;2;3;7;8;9;0.992573;18.9897
rHand;TestUser_02;Squat;-0.202998;-0.329105;0.859612;0.0967414;0.243859;0.963097;-0.0601542;1;2;3;7;8;9;0.992573;18.9897
lFoot;TestUser_02;Squat;0.135614;0.0493838;0.0750982;-0.964886;-0.0116878;-0.0463954;0.258274;1;2;3;7;8;9;0.992573;18.9897
rFoot;TestUser_02;Squat;-0.191902;0.0501104;0.0763805;-0.963078;0.0670005;0.0711214;0.250864;1;2;3;7;8;9;0.992573;18.9897
head;TestUser_02;Squat;-0.0213601;-0.15494;1.35822;0.714478;0.00823306;0.0182932;0.69937;1;2;3;7;8;9;0.992573;19.0063
hip;TestUser_02;Squat;-0.0101445;0.235421;0.857321;0.801547;0.013106;0.0163591;0.597564;1;2;3;7;8;9;0.992573;19.0063
lHand;TestUser_02;Squat;0.103143;-0.374578;0.888563;0.0112402;-0.21196;-0.976916;-0.0241286;1;2;3;7;8;9;0.992573;19.0063
rHand;TestUser_02;Squat;-0.201492;-0.333285;0.85812;0.0915948;0.262553;0.958553;-0.0620675;1;2;3;7;8;9;0.992573;19.0063
lFoot;TestUser_02;Squat;0.135401;0.0494782;0.0751652;-0.964426;-0.0122089;-0.0450289;0.260205;1;2;3;7;8;9;0.992573;19.0063
rFoot;TestUser_02;Squat;-0.192228;0.0507308;0.0765143;-0.963322;0.0576777;0.0679909;0.253104;1;2;3;7;8;9;0.992573;19.0063
head;TestUser_02;Squat;-0.0230488;-0.156966;1.34784;0.714842;0.00890258;0.0178009;0.699003;1;2;3;7;8;9;0.992573;19.0229
hip;TestUser_02;Squat;-0.0128076;0.238412;0.851473;0.803697;0.0149905;0.0234972;0.594385;1;2;3;7;8;9;0.992573;19.0229
lHand;TestUser_02;Squat;0.101127;-0.378044;0.887525;0.00836473;-0.225247;-0.973958;-0.0244788;1;2;3;7;8;9;0.992573;19.0229
rHand;TestUser_02;Squat;-0.199737;-0.337786;0.856276;0.0862698;0.280717;0.953756;-0.0640666;1;2;3;7;8;9;0.992573;19.0229
lFoot;TestUser_02;Squat;0.13524;0.0494129;0.0752666;-0.96419;-0.0106183;-0.0433203;0.261436;1;2;3;7;8;9;0.992573;19.0229
rFoot;TestUser_02;Squat;-0.192163;0.0508491;0.0769111;-0.96294;0.0538804;0.0642181;0.256359;1;2;3;7;8;9;0.992573;19.0229
head;TestUser_02;Squat;-0.0250705;-0.158716;1.33742;0.715159;0.00960731;0.0173791;0.69868;1;2;3;7;8;9;0.992573;19.0397
hip;TestUser_02;Squat;-0.0156801;0.242031;0.846797;0.80744;0.0177373;0.0332644;0.588743;1;2;3;7;8;9;0.992573;19.0397
lHand;TestUser_02;Squat;0.0983378;-0.380623;0.88457;0.00763474;-0.237536;-0.971023;-0.025141;1;2;3;7;8;9;0.992573;19.0397
rHand;TestUser_02;Squat;-0.198072;-0.341547;0.854143;0.0793872;0.299278;0.948593;-0.0655842;1;2;3;7;8;9;0.992573;19.0397
lFoot;TestUser_02;Squat;0.134891;0.0490466;0.0751766;-0.963895;-0.0110671;-0.0425326;0.262629;1;2;3;7;8;9;0.992573;19.0397
rFoot;TestUser_02;Squat;-0.191788;0.0508278;0.0774432;-0.961994;0.0525508;0.0615229;0.260808;1;2;3;7;8;9;0.992573;19.0397
head;TestUser_02;Squat;-0.0269039;-0.160602;1.327;0.715095;0.0102704;0.0168302;0.69875;1;2;3;7;8;9;0.992573;19.0573
hip;TestUser_02;Squat;-0.0184428;0.246046;0.842784;0.812793;0.020033;0.0403587;0.580807;1;2;3;7;8;9;0.992573;19.0573
lHand;TestUser_02;Squat;0.0957663;-0.383132;0.882118;0.00976507;-0.249602;-0.967963;-0.0255259;1;2;3;7;8;9;0.992573;19.0573
rHand;TestUser_02;Squat;-0.196834;-0.345332;0.851943;0.0723231;0.315612;0.943635;-0.0686357;1;2;3;7;8;9;0.992573;19.0573
lFoot;TestUser_02;Squat;0.135401;0.0491336;0.0753251;-0.963687;-0.00857747;-0.0430959;0.263396;1;2;3;7;8;9;0.992573;19.0573
rFoot;TestUser_02;Squat;-0.192093;0.0507237;0.0775654;-0.961382;0.0512383;0.0613979;0.263342;1;2;3;7;8;9;0.992573;19.0573
head;TestUser_02;Squat;-0.0285959;-0.162636;1.31633;0.714662;0.0109106;0.0161063;0.699199;1;2;3;7;8;9;0.992573;19.0734
