tag;subject;activity;calPosX;calPosY;calPosZ;calRotX;calRotY;calRotZ;calRotW;angVelX;angVelY;angVelZ;linVelX;linVelY;linVelZ;scale;time
head;TestUser_03;CircleWalk;-0.0407075;-0.0207028;1.57513;0.701248;-0.0685183;-0.0520018;0.707709;1;2;3;7;8;9;0.958903;4.16471
hip;TestUser_03;CircleWalk;-0.00182223;0.0371794;0.919558;0.598529;-0.0774814;-0.0595819;0.795116;1;2;3;7;8;9;0.958903;4.16471
lHand;TestUser_03;CircleWalk;0.274664;-0.135218;0.824148;0.229321;0.473461;-0.847357;-0.072336;1;2;3;7;8;9;0.958903;4.16471
rHand;TestUser_03;CircleWalk;-0.346468;-0.0756251;0.795961;0.054593;-0.415775;0.903722;0.0862473;1;2;3;7;8;9;0.958903;4.16471
lFoot;TestUser_03;CircleWalk;0.137282;0.0518996;0.0773954;-0.976432;-0.0351317;-0.074342;0.199547;1;2;3;7;8;9;0.958903;4.16471
rFoot;TestUser_03;CircleWalk;-0.0186869;0.0280228;0.0763833;0.909836;-0.341565;0.0307942;-0.23363;1;2;3;7;8;9;0.958903;4.16471
head;TestUser_03;CircleWalk;-0.043059;-0.0209678;1.57507;0.701012;-0.0713525;-0.0548629;0.707447;1;2;3;7;8;9;0.958903;4.18042
hip;TestUser_03;CircleWalk;-0.00190087;0.0365455;0.919375;0.598531;-0.0820522;-0.0614189;0.794516;1;2;3;7;8;9;0.958903;4.18042
lHand;TestUser_03;CircleWalk;0.271376;-0.137334;0.823771;0.231847;0.47269;-0.846748;-0.0763522;1;2;3;7;8;9;0.958903;4.18042
rHand;TestUser_03;CircleWalk;-0.348566;-0.0739667;0.794909;0.0486301;-0.415237;0.90341;0.0952023;1;2;3;7;8;9;0.958903;4.18042
lFoot;TestUser_03;CircleWalk;0.136987;0.0517731;0.0787024;-0.974785;-0.0372216;-0.0778258;0.205796;1;2;3;7;8;9;0.958903;4.18042
rFoot;TestUser_03;CircleWalk;-0.0248558;0.0332205;0.0736221;0.921673;-0.317821;0.0290459;-0.220602;1;2;3;7;8;9;0.958903;4.18042
head;TestUser_03;CircleWalk;-0.0454729;-0.0211831;1.57504;0.700863;-0.0743963;-0.0579048;0.707038;1;2;3;7;8;9;0.958903;4.19657
