tag;subject;activity;calPosX;calPosY;calPosZ;calRotX;calRotY;calRotZ;calRotW;angVelX;angVelY;angVelZ;linVelX;linVelY;linVelZ;scale;time
head;TestUser_04;BackStep;-0.125975;-0.167456;1.30327;0.698088;-0.0379188;0.0060275;0.714982;1;2;3;7;8;9;0.984607;121.202
hip;TestUser_04;BackStep;-0.0812445;0.244248;0.843041;0.815503;-0.00792133;0.00379174;0.578687;1;2;3;7;8;9;0.984607;121.202
lHand;TestUser_04;BackStep;0.102632;-0.30243;0.828932;0.00755951;-0.226363;-0.970312;0.0848377;1;2;3;7;8;9;0.984607;121.202
rHand;TestUser_04;BackStep;-0.253144;-0.311896;0.745496;0.125011;0.259352;0.948777;-0.130119;1;2;3;7;8;9;0.984607;121.202
lFoot;TestUser_04;BackStep;0.075242;0.502428;0.196468;-0.752645;-0.0300009;-0.0721067;0.653779;1;2;3;7;8;9;0.984607;121.202
rFoot;TestUser_04;BackStep;-0.139358;0.0496047;0.0783264;-0.954314;-0.0201803;0.0532843;0.293324;1;2;3;7;8;9;0.984607;121.202
head;TestUser_04;BackStep;-0.124895;-0.1679;1.2925;0.699027;-0.0379073;0.00540704;0.714069;1;2;3;7;8;9;0.984607;121.216
hip;TestUser_04;BackStep;-0.0815403;0.248314;0.836491;0.818044;-0.00580637;0.0102392;0.575036;1;2;3;7;8;9;0.984607;121.216
lHand;TestUser_04;BackStep;0.102388;-0.302463;0.823614;0.0123296;-0.227324;-0.9703;0.081789;1;2;3;7;8;9;0.984607;121.216
rHand;TestUser_04;BackStep;-0.252021;-0.313568;0.740033;0.122426;0.2679;0.947024;-0.128013;1;2;3;7;8;9;0.984607;121.216
lFoot;TestUser_04;BackStep;0.0739055;0.504547;0.193159;-0.752062;-0.00599873;-0.0517968;0.657027;1;2;3;7;8;9;0.984607;121.216
rFoot;TestUser_04;BackStep;-0.138983;0.0496475;0.0784678;-0.953547;-0.0203719;0.0543062;0.295607;1;2;3;7;8;9;0.984607;121.216
head;TestUser_04;BackStep;-0.123947;-0.168003;1.28141;0.699449;-0.0378001;0.00483227;0.713666;1;2;3;7;8;9;0.984607;121.232
hip;TestUser_04;BackStep;-0.0820325;0.252644;0.830751;0.822649;-0.00328073;0.0139082;0.56837;1;2;3;7;8;9;0.984607;121.232
lHand;TestUser_04;BackStep;0.101607;-0.302552;0.817797;0.0171253;-0.227416;-0.970489;0.0783609;1;2;3;7;8;9;0.984607;121.232
rHand;TestUser_04;BackStep;-0.250874;-0.315219;0.734466;0.119149;0.277333;0.944961;-0.126247;1;2;3;7;8;9;0.984607;121.232
lFoot;TestUser_04;BackStep;0.0740057;0.506006;0.190238;-0.751318;0.0157925;-0.0408247;0.658487;1;2;3;7;8;9;0.984607;121.232
