tag;calPosX;calPosY;calPosZ;calRotX;calRotY;calRotZ;calRotW;angVelX;angVelY;angVelZ;linVelX;linVelY;linVelZ;scale;time
head;1.84211e-05;0.0194733;1.58325;0.692102;0.000234569;0.000189202;0.7218;1;2;3;7;8;9;0.992573;15.2267
hip;-6.70925e-05;0.0639921;0.926629;0.572839;0.000139505;0.000764515;0.819668;1;2;3;7;8;9;0.992573;15.2267
lHand;0.711353;0.0395386;1.42384;0.474783;0.394344;-0.63344;0.466721;1;2;3;7;8;9;0.992573;15.2267
rHand;-0.711523;0.0392947;1.42394;0.474264;-0.394568;0.634086;0.466181;1;2;3;7;8;9;0.992573;15.2267
lFoot;0.138569;0.0516955;0.0698894;-0.985113;-0.0366755;-0.0603028;0.156748;1;2;3;7;8;9;0.992573;15.2267
rFoot;-0.138705;0.0516453;0.0698872;-0.985125;0.0367106;0.060209;0.156706;1;2;3;7;8;9;0.992573;15.2267
head;2.70954e-05;0.0196214;1.58321;0.691925;0.00031862;0.000108195;0.721969;1;2;3;7;8;9;0.992573;15.2425
hip;-4.03449e-05;0.0641121;0.926611;0.572919;0.000108553;0.000805095;0.819611;1;2;3;7;8;9;0.992573;15.2425
lHand;0.711372;0.0395745;1.42384;0.474831;0.394066;-0.633266;0.467141;1;2;3;7;8;9;0.992573;15.2425
rHand;-0.711584;0.0393575;1.42383;0.473981;-0.394131;0.634554;0.466202;1;2;3;7;8;9;0.992573;15.2425
lFoot;0.138593;0.051685;0.0698885;-0.985112;-0.0366986;-0.0603712;0.156725;1;2;3;7;8;9;0.992573;15.2425
rFoot;-0.138703;0.0516614;0.0698771;-0.985133;0.0365959;0.0602195;0.156674;1;2;3;7;8;9;0.992573;15.2425
head;-0.000104493;0.019816;1.58318;0.691849;0.000303265;0.000229117;0.722042;1;2;3;7;8;9;0.992573;15.2593
hip;-0.000128686;0.0642236;0.926544;0.573012;0.000148298;0.000632279;0.819547;1;2;3;7;8;9;0.992573;15.2593
