tag;subject;activity;finalPosX;finalPosY;finalPosZ;desPosX;desPosY;desPosZ;rawPosX;rawPosY;rawPosZ;finalRotX;finalRotY;finalRotZ;finalRotW;desRotX;desRotY;desRotZ;desRotW;rawRotX;rawRotY;rawRotZ;rawRotW;rawAngVelX;rawAngVelY;rawAngVelZ;desAngVelX;desAngVelY;desAngVelZ;desAngVelW;rawLinVelX;rawLinVelY;rawLinVelZ;desLinVelX;desLinVelY;desLinVelZ;scale;time
head;Subject_3;Krieger_2;-0.0271425;-0.00439176;0.999622;0;0;0;0;0;0;0.603966;-0.0443744;0.0514577;-0.0443744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2040.71
hip;Subject_3;Krieger_2;-0.0507766;0.0219073;0.99847;0;0;0;0;0;0;0.554474;0.0238108;0.0524018;0.0238108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2040.71
lHand;Subject_3;Krieger_2;0.38371;-0.421218;0.821792;0;0;0;0;0;0;0.311821;0.165191;-0.818652;0.165191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2040.71
rHand;Subject_3;Krieger_2;-0.310064;-0.383414;0.869974;0;0;0;0;0;0;-0.239703;0.0292225;-0.876264;0.0292225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2040.71
lFoot;Subject_3;Krieger_2;0.467782;0.234163;0.85226;0;0;0;0;0;0;-0.987508;-0.00269699;-0.012393;-0.00269699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2040.71
rFoot;Subject_3;Krieger_2;-0.796259;0.0260467;0.604394;0;0;0;0;0;0;-0.989328;0.0154757;0.0145982;0.0154757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2040.71
head;Subject_3;Krieger_2;-0.0270248;-0.00434376;0.999625;0;0;0;0;0;0;0.603955;-0.0445016;0.0512673;-0.0445016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2040.72
hip;Subject_3;Krieger_2;-0.0507048;0.0219035;0.998473;0;0;0;0;0;0;0.554417;0.0236025;0.0523022;0.0236025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2040.72
lHand;Subject_3;Krieger_2;0.384112;-0.420909;0.821762;0;0;0;0;0;0;0.31394;0.166692;-0.817187;0.166692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2040.72
rHand;Subject_3;Krieger_2;-0.310111;-0.383255;0.870027;0;0;0;0;0;0;-0.23996;0.0295554;-0.876395;0.0295554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2040.72
