tag;subject;activity;rawPosX;rawPosY;rawPosZ;desPosX;desPosY;desPosZ;finalPosX;finalPosY;finalPosZ;rawRotX;rawRotY;rawRotZ;rawRotW;desRotX;desRotY;desRotZ;desRotW;finalRotX;finalRotY;finalRotZ;finalRotW;rawAngVelX;rawAngVelY;rawAngVelZ;desAngVelX;desAngVelY;desAngVelZ;desAngVelW;rawLinVelX;rawLinVelY;rawLinVelZ;desLinVelX;desLinVelY;desLinVelZ;scale;time
head;Subject_8;Krieger_2;-0.0196606;-0.0544235;0.998324;0;0;0;0;0;0;0.680779;0.00432251;-0.00663963;0.00432251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;971.909
hip;Subject_8;Krieger_2;-0.0478916;-0.0459507;0.997795;0;0;0;0;0;0;0.542181;-0.00335348;-0.0104728;-0.00335348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;971.909
lForeArm;Subject_8;Krieger_2;0.212216;0.13439;0.967938;0;0;0;0;0;0;0.62374;0.300746;-0.482383;0.300746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;971.909
rForeArm;Subject_8;Krieger_2;-0.251056;0.134109;0.958637;0;0;0;0;0;0;0.590222;-0.464646;0.517166;-0.464646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;971.909
lFoot;Subject_8;Krieger_2;0.489369;-0.333176;0.805923;0;0;0;0;0;0;-0.983699;0.0560289;-0.0418145;0.0560289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;971.909
rFoot;Subject_8;Krieger_2;-0.840252;0.0650888;0.538275;0;0;0;0;0;0;-0.98344;0.0412868;0.0250595;0.0412868;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;971.909
head;Subject_8;Krieger_2;-0.0196115;-0.0544341;0.998325;0;0;0;0;0;0;0.680749;0.0039662;-0.00677294;0.0039662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;971.92
hip;Subject_8;Krieger_2;-0.0478827;-0.0454293;0.997819;0;0;0;0;0;0;0.542902;-0.00343805;-0.0106171;-0.00343805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;971.92
lForeArm;Subject_8;Krieger_2;0.217968;0.136424;0.966374;0;0;0;0;0;0;0.63207;0.281571;-0.484068;0.281571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;971.92
rForeArm;Subject_8;Krieger_2;-0.250997;0.134127;0.95865;0;0;0;0;0;0;0.590234;-0.464651;0.517247;-0.464651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;971.92
lFoot;Subject_8;Krieger_2;0.488519;-0.333435;0.806331;0;0;0;0;0;0;-0.983699;0.0560605;-0.0416786;0.0560605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;971.92
rFoot;Subject_8;Krieger_2;-0.840004;0.064314;0.538755;0;0;0;0;0;0;-0.983443;0.0413354;0.0251214;0.0413354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;971.92
head;Subject_8;Krieger_2;-0.0195959;-0.0543765;0.998328;0;0;0;0;0;0;0.680719;0.00351975;-0.00686086;0.00351975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;971.932
hip;Subject_8;Krieger_2;-0.0478639;-0.0450847;0.997836;0;0;0;0;0;0;0.543486;-0.003523;-0.0107979;-0.003523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;971.932
lForeArm;Subject_8;Krieger_2;0.226463;0.139084;0.964039;0;0;0;0;0;0;0.643469;0.257426;-0.485794;0.257426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;971.932
