tag;subject;activity;rawPosX;rawPosY;rawPosZ;desPosX;desPosY;desPosZ;finalPosX;finalPosY;finalPosZ;rawRotX;rawRotY;rawRotZ;rawRotW;desRotX;desRotY;desRotZ;desRotW;finalRotX;finalRotY;finalRotZ;finalRotW;rawAngVelX;rawAngVelY;rawAngVelZ;desAngVelX;desAngVelY;desAngVelZ;desAngVelW;rawLinVelX;rawLinVelY;rawLinVelZ;desLinVelX;desLinVelY;desLinVelZ;scale;time
head;Subject_4;Krieger_3;0.120145;0.0113737;0.992691;0;0;0;0;0;0;0.760695;0.0188131;0.0435573;0.0188131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.552
hip;Subject_4;Krieger_3;0.208433;0.0929692;0.973608;0;0;0;0;0;0;0.549065;0.00837367;0.014356;0.00837367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.552
lHand;Subject_4;Krieger_3;0.560527;-0.166432;0.81124;0;0;0;0;0;0;0.116577;0.426416;-0.840804;0.426416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.552
rHand;Subject_4;Krieger_3;-0.11182;-0.219419;0.969202;0;0;0;0;0;0;0.070888;-0.416268;0.901112;-0.416268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.552
lFoot;Subject_4;Krieger_3;0.92457;0.323391;0.201469;0;0;0;0;0;0;-0.983833;-0.0176029;-0.060836;-0.0176029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.552
rFoot;Subject_4;Krieger_3;0.619262;0.635442;0.461225;0;0;0;0;0;0;-0.988218;-0.00430726;0.0358512;-0.00430726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.552
head;Subject_4;Krieger_3;0.120265;0.0115608;0.992675;0;0;0;0;0;0;0.760539;0.0186968;0.0434872;0.0186968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.563
hip;Subject_4;Krieger_3;0.208515;0.0933771;0.973551;0;0;0;0;0;0;0.549749;0.00769729;0.0134422;0.00769729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.563
lHand;Subject_4;Krieger_3;0.560315;-0.166433;0.811386;0;0;0;0;0;0;0.115887;0.425654;-0.841318;0.425654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.563
rHand;Subject_4;Krieger_3;-0.111666;-0.219244;0.969259;0;0;0;0;0;0;0.0713369;-0.415347;0.901509;-0.415347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.563
lFoot;Subject_4;Krieger_3;0.924554;0.32343;0.201479;0;0;0;0;0;0;-0.983836;-0.0176179;-0.060983;-0.0176179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.563
rFoot;Subject_4;Krieger_3;0.619595;0.635288;0.460989;0;0;0;0;0;0;-0.988235;-0.00405507;0.0357569;-0.00405507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.563
head;Subject_4;Krieger_3;0.120327;0.0118014;0.992664;0;0;0;0;0;0;0.760383;0.0186401;0.043356;0.0186401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.575
hip;Subject_4;Krieger_3;0.208328;0.0941753;0.973515;0;0;0;0;0;0;0.550192;0.00720724;0.0126019;0.00720724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.575
lHand;Subject_4;Krieger_3;0.56017;-0.166578;0.811456;0;0;0;0;0;0;0.115186;0.425098;-0.841695;0.425098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.575
rHand;Subject_4;Krieger_3;-0.111725;-0.219067;0.969292;0;0;0;0;0;0;0.0717037;-0.414122;0.90206;-0.414122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.575
lFoot;Subject_4;Krieger_3;0.924521;0.323611;0.201338;0;0;0;0;0;0;-0.983837;-0.0176538;-0.0609323;-0.0176538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.575
rFoot;Subject_4;Krieger_3;0.619639;0.63551;0.460625;0;0;0;0;0;0;-0.988251;-0.00382191;0.0357377;-0.00382191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.575
head;Subject_4;Krieger_3;0.120391;0.0120619;0.992653;0;0;0;0;0;0;0.760131;0.0185606;0.0432992;0.0185606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.585
hip;Subject_4;Krieger_3;0.208385;0.094412;0.973479;0;0;0;0;0;0;0.550385;0.00701276;0.0124754;0.00701276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.585
lHand;Subject_4;Krieger_3;0.560114;-0.166972;0.811414;0;0;0;0;0;0;0.114792;0.424497;-0.841991;0.424497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.585
rHand;Subject_4;Krieger_3;-0.111487;-0.21877;0.969387;0;0;0;0;0;0;0.0727594;-0.412365;0.902752;-0.412365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.585
lFoot;Subject_4;Krieger_3;0.924513;0.323581;0.201422;0;0;0;0;0;0;-0.98385;-0.0177207;-0.06085;-0.0177207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.585
rFoot;Subject_4;Krieger_3;0.619607;0.635741;0.460348;0;0;0;0;0;0;-0.988279;-0.00386213;0.035861;-0.00386213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.585
head;Subject_4;Krieger_3;0.120464;0.0122846;0.992642;0;0;0;0;0;0;0.759873;0.0184074;0.0432772;0.0184074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.597
hip;Subject_4;Krieger_3;0.208335;0.0947676;0.973455;0;0;0;0;0;0;0.550511;0.00728638;0.0127282;0.00728638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.597
lHand;Subject_4;Krieger_3;0.560034;-0.167017;0.81146;0;0;0;0;0;0;0.114493;0.423949;-0.842183;0.423949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.597
rHand;Subject_4;Krieger_3;-0.111405;-0.218528;0.969451;0;0;0;0;0;0;0.0740246;-0.410095;0.9036;-0.410095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.597
lFoot;Subject_4;Krieger_3;0.924502;0.32359;0.201456;0;0;0;0;0;0;-0.983839;-0.0176173;-0.0610059;-0.0176173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.597
rFoot;Subject_4;Krieger_3;0.619771;0.635694;0.460193;0;0;0;0;0;0;-0.988296;-0.0037228;0.0357991;-0.0037228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.597
head;Subject_4;Krieger_3;0.120521;0.0124902;0.992632;0;0;0;0;0;0;0.759637;0.018348;0.0432209;0.018348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.609
hip;Subject_4;Krieger_3;0.208249;0.0948627;0.973464;0;0;0;0;0;0;0.550485;0.00756166;0.012976;0.00756166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.609
lHand;Subject_4;Krieger_3;0.559938;-0.167196;0.811489;0;0;0;0;0;0;0.114349;0.423427;-0.842268;0.423427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.609
rHand;Subject_4;Krieger_3;-0.111119;-0.218644;0.969457;0;0;0;0;0;0;0.0743941;-0.408192;0.904325;-0.408192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.609
lFoot;Subject_4;Krieger_3;0.924477;0.323704;0.201392;0;0;0;0;0;0;-0.983858;-0.0175824;-0.0609152;-0.0175824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.609
rFoot;Subject_4;Krieger_3;0.619879;0.635635;0.460127;0;0;0;0;0;0;-0.988314;-0.00356454;0.0358405;-0.00356454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.609
head;Subject_4;Krieger_3;0.120526;0.0127241;0.992629;0;0;0;0;0;0;0.759371;0.0182147;0.0432777;0.0182147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.619
hip;Subject_4;Krieger_3;0.208124;0.0953628;0.973442;0;0;0;0;0;0;0.550573;0.00758657;0.0127297;0.00758657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.619
lHand;Subject_4;Krieger_3;0.559844;-0.167383;0.811516;0;0;0;0;0;0;0.114503;0.422916;-0.84227;0.422916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.619
rHand;Subject_4;Krieger_3;-0.111274;-0.218667;0.969434;0;0;0;0;0;0;0.0738475;-0.406136;0.905084;-0.406136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;577.619
