tag;subject;activity;finalPosX;finalPosY;finalPosZ;desPosX;desPosY;desPosZ;rawPosX;rawPosY;rawPosZ;finalRotX;finalRotY;finalRotZ;finalRotW;desRotX;desRotY;desRotZ;desRotW;rawRotX;rawRotY;rawRotZ;rawRotW;rawAngVelX;rawAngVelY;rawAngVelZ;desAngVelX;desAngVelY;desAngVelZ;desAngVelW;rawLinVelX;rawLinVelY;rawLinVelZ;desLinVelX;desLinVelY;desLinVelZ;scale;time
head;Subject_6;Krieger_3;-0.00678278;-0.0331686;0.999427;0;0;0;0;0;0;0.658032;-0.0278595;-0.0201106;-0.0278595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.515
hip;Subject_6;Krieger_3;-0.0187412;0.0483859;0.998653;0;0;0;0;0;0;0.553719;-0.00824285;-0.0159216;-0.00824285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.515
lHand;Subject_6;Krieger_3;0.349575;-0.143348;0.925877;0;0;0;0;0;0;0.190744;0.334973;-0.914364;0.334973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.515
rHand;Subject_6;Krieger_3;-0.35343;-0.124495;0.92714;0;0;0;0;0;0;-0.260058;0.426367;-0.861669;0.426367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.515
lFoot;Subject_6;Krieger_3;0.864066;-0.0950672;0.494321;0;0;0;0;0;0;-0.984238;0.0383506;-0.0748771;0.0383506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.515
rFoot;Subject_6;Krieger_3;-0.887604;-0.0474856;0.458153;0;0;0;0;0;0;-0.984105;0.0634003;0.0492403;0.0634003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.515
head;Subject_6;Krieger_3;-0.00665763;-0.0335392;0.999415;0;0;0;0;0;0;0.658233;-0.0282534;-0.020279;-0.0282534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.526
hip;Subject_6;Krieger_3;-0.0186536;0.0480542;0.998671;0;0;0;0;0;0;0.554112;-0.0083275;-0.0160262;-0.0083275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.526
lHand;Subject_6;Krieger_3;0.349101;-0.144506;0.925876;0;0;0;0;0;0;0.190539;0.333788;-0.914701;0.333788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.526
rHand;Subject_6;Krieger_3;-0.353358;-0.124459;0.927172;0;0;0;0;0;0;-0.260042;0.427679;-0.861155;0.427679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.526
lFoot;Subject_6;Krieger_3;0.863643;-0.0959667;0.494885;0;0;0;0;0;0;-0.984203;0.0381778;-0.074638;0.0381778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.526
rFoot;Subject_6;Krieger_3;-0.887266;-0.0476671;0.458788;0;0;0;0;0;0;-0.984019;0.0642518;0.0492116;0.0642518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.526
head;Subject_6;Krieger_3;-0.00656384;-0.0338342;0.999406;0;0;0;0;0;0;0.658637;-0.0284537;-0.020424;-0.0284537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.538
hip;Subject_6;Krieger_3;-0.0188439;0.0481578;0.998662;0;0;0;0;0;0;0.554361;-0.00821956;-0.0163103;-0.00821956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.538
lHand;Subject_6;Krieger_3;0.348717;-0.145314;0.925894;0;0;0;0;0;0;0.189452;0.333026;-0.915066;0.333026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.538
rHand;Subject_6;Krieger_3;-0.353385;-0.123755;0.927256;0;0;0;0;0;0;-0.26091;0.428737;-0.860516;0.428737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.538
lFoot;Subject_6;Krieger_3;0.863614;-0.0974215;0.494652;0;0;0;0;0;0;-0.98406;0.039804;-0.0747107;0.039804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.538
rFoot;Subject_6;Krieger_3;-0.887297;-0.0479057;0.458704;0;0;0;0;0;0;-0.983965;0.0648541;0.0492058;0.0648541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.538
head;Subject_6;Krieger_3;-0.00642315;-0.0341598;0.999396;0;0;0;0;0;0;0.658862;-0.0286283;-0.0206551;-0.0286283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;395.549
