tag;subject;activity;rawPosX;rawPosY;rawPosZ;desPosX;desPosY;desPosZ;finalPosX;finalPosY;finalPosZ;rawRotX;rawRotY;rawRotZ;rawRotW;desRotX;desRotY;desRotZ;desRotW;finalRotX;finalRotY;finalRotZ;finalRotW;rawAngVelX;rawAngVelY;rawAngVelZ;desAngVelX;desAngVelY;desAngVelZ;desAngVelW;rawLinVelX;rawLinVelY;rawLinVelZ;desLinVelX;desLinVelY;desLinVelZ;scale;time
head;Subject_3;Krieger_3;0.122033;0.086454;0.988754;0;0;0;0;0;0;0.588306;0.0201927;0.0919847;0.0201927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2311.26
hip;Subject_3;Krieger_3;0.188506;0.168557;0.967499;0;0;0;0;0;0;0.625868;0.0569575;0.0391419;0.0569575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2311.26
lForeArm;Subject_3;Krieger_3;0.606478;-0.147041;0.781386;0;0;0;0;0;0;0.300055;0.221829;-0.867539;0.221829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2311.26
rForeArm;Subject_3;Krieger_3;-0.0792294;-0.231101;0.969698;0;0;0;0;0;0;-0.327241;0.23161;-0.765364;0.23161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2311.26
lFoot;Subject_3;Krieger_3;0.839943;0.499313;0.212562;0;0;0;0;0;0;-0.974567;-0.104739;-0.0209534;-0.104739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2311.26
rFoot;Subject_3;Krieger_3;0.284215;0.789373;0.544162;0;0;0;0;0;0;-0.985383;0.0128128;0.0831165;0.0128128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2311.26
head;Subject_3;Krieger_3;0.122045;0.0863232;0.988763;0;0;0;0;0;0;0.588484;0.0201359;0.0918505;0.0201359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2311.27
hip;Subject_3;Krieger_3;0.188604;0.168598;0.967473;0;0;0;0;0;0;0.625628;0.0568369;0.0387808;0.0568369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2311.27
lForeArm;Subject_3;Krieger_3;0.606482;-0.147205;0.781352;0;0;0;0;0;0;0.299416;0.221844;-0.867828;0.221844;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2311.27
rForeArm;Subject_3;Krieger_3;-0.0791793;-0.231088;0.969706;0;0;0;0;0;0;-0.326959;0.23168;-0.765509;0.23168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2311.27
lFoot;Subject_3;Krieger_3;0.839752;0.499552;0.212753;0;0;0;0;0;0;-0.974471;-0.105108;-0.0211573;-0.105108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2311.27
rFoot;Subject_3;Krieger_3;0.284961;0.789334;0.543828;0;0;0;0;0;0;-0.98537;0.0131166;0.0829817;0.0131166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2311.27
head;Subject_3;Krieger_3;0.12203;0.0862029;0.988776;0;0;0;0;0;0;0.588687;0.0199808;0.0917292;0.0199808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2311.28
hip;Subject_3;Krieger_3;0.188727;0.168614;0.967446;0;0;0;0;0;0;0.625514;0.0567052;0.0384617;0.0567052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2311.28
lForeArm;Subject_3;Krieger_3;0.606488;-0.147239;0.781341;0;0;0;0;0;0;0.298611;0.221971;-0.868071;0.221971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2311.28
rForeArm;Subject_3;Krieger_3;-0.0793534;-0.231112;0.969686;0;0;0;0;0;0;-0.326605;0.23171;-0.765736;0.23171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2311.28
lFoot;Subject_3;Krieger_3;0.839414;0.499991;0.213056;0;0;0;0;0;0;-0.974339;-0.10581;-0.0211195;-0.10581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2311.28
